Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,22.985,23.945,25.849,27.983,26.397,24.477,23.461,23.476,24.665,24.244,23.017,21.23
1902,22.191,23.503,26.702,27.712,27.294,25.276,24.057,24.438,23.678,23.991,22.652,22.115
1903,22.464,23.857,26.385,27.905,26.755,25.046,23.539,23.394,23.757,23.418,21.711,20.732
1904,21.525,23.13,25.79,27.715,26.246,23.694,23.016,23.598,24.032,24.11,22.048,21.118
1905,21.889,24.025,25.856,26.833,27.145,25.245,23.916,23.815,24.061,24.17,23.051,21.249
1906,22.854,24.448,25.749,28.839,28.153,24.7,23.515,23.481,23.061,23.797,23.147,21.809
1907,22.023,24.098,26.058,26.792,26.476,24.356,23.515,22.692,24.073,24.413,23.143,21.538
1908,22.153,23.54,25.582,28.398,26.655,25.149,22.836,23.144,24.083,24.277,22.344,20.927
1909,22.393,24.078,26.843,27.177,26.527,24.567,22.992,23.637,23.397,24.001,23.32,22.469
1910,22.342,23.842,26.591,28.264,27.377,24.715,23.857,23.117,23.05,23.51,21.374,20.561
1911,22.393,22.654,25.944,27.695,26.982,24.477,23.434,23.282,24.565,24.283,23.47,22.209
1912,22.004,24.956,26.85,28.409,27.99,25.174,23.54,23.517,24.312,23.858,22.376,20.986
1913,21.276,24.346,26.392,28.455,27.331,24.405,23.137,23.558,24.644,23.802,22.73,22.456
1914,21.644,24.557,26.501,27.592,27.535,25.488,23.419,23.382,24.341,24.077,23.167,22.48
1915,22.675,24.458,26.151,27.962,27.276,25.392,24.104,24.182,24.264,24.297,23.392,20.986
1916,21.635,24.018,26.808,28.428,27.057,23.779,23.994,23.338,23.811,23.801,22.668,20.864
1917,21.413,23.128,25.413,27.266,26.188,23.658,24.061,23.617,23.668,23.002,22.577,21.219
1918,21.433,22.892,25.237,27.225,25.452,24.278,24.471,23.863,24.244,25.06,24.139,22.18
1919,23.201,24.812,26.375,28.392,26.757,24.265,23.716,23.617,24.252,24.255,23.247,21.815
1920,22.112,24.21,26.806,27.638,27.163,24.82,23.556,23.694,24.244,24.365,23.009,21.352
1921,22.935,23.764,26.946,27.564,27.668,24.793,23.711,23.538,23.433,23.854,22.032,21.254
1922,22.536,23.769,26.796,28.185,26.788,24.556,23.236,23.492,23.977,23.736,22.666,20.558
1923,21.324,23.084,25.415,27.246,26.632,25.446,22.94,23.481,23.578,23.874,22.966,22.1
1924,22.429,24.515,26.567,28.647,27.643,24.838,23.664,23.905,23.865,23.607,22.048,21.097
1925,21.988,23.388,26.096,28.374,26.353,24.519,23.556,23.671,24.419,23.822,22.735,21.284
1926,22.66,24.354,26.66,27.109,27.453,25.971,24.615,23.946,24.032,24.081,22.679,21.764
1927,22.938,24.464,27.115,28.439,27.25,24.587,23.144,23.745,24.232,23.81,21.909,21.809
1928,22.668,23.932,26.129,28.162,27.755,25.136,23.772,23.481,24.237,23.79,22.778,21.364
1929,22.636,24.035,26.297,27.136,26.956,24.49,23.736,24.138,24.67,23.864,22.831,22.12
1930,22.626,23.324,26.195,27.681,26.522,24.953,23.411,23.533,24.167,23.93,22.395,22.169
1931,22.389,24.177,26.58,28.683,27.988,25.482,23.78,23.895,23.856,24.029,22.83,21.458
1932,21.409,23.469,25.539,27.991,26.612,24.576,23.171,24.018,23.798,24.254,23.009,21.487
1933,22.03,24.11,25.857,27.716,25.866,23.61,23.125,23.181,23.453,23.265,23.133,21.26
1934,21.888,23.389,25.611,27.745,27.239,24.699,23.503,23.194,24.417,24.32,21.777,20.829
1935,22.164,24.039,26.155,27.276,27.643,24.998,23.103,23.231,23.34,24.069,21.887,21.852
1936,22.733,24.146,25.806,27.825,27.282,23.456,23.205,23.138,24.203,23.99,23.056,22.07
1937,21.988,24.567,26.421,27.225,27.031,24.566,22.936,23.781,24.181,23.676,22.43,21.484
1938,22.717,24.37,26.904,28.105,27.127,23.585,23.022,23.074,23.44,22.886,22.245,21.683
1939,21.936,23.561,25.647,27.403,27.064,24.669,22.727,23.251,23.652,24.069,22.181,21.025
1940,21.043,23.644,26.08,27.208,26.832,24.556,23.079,23.093,24.032,24.03,22.791,21.598
1941,22.424,24.333,27.203,28.672,27.727,24.695,24.108,24.063,24.256,24.604,23.634,22.55
1942,22.433,24.323,26.909,27.722,27.746,24.756,23.126,22.978,23.505,24.244,22.589,22.283
1943,22.813,23.397,26.323,27.261,25.931,23.612,22.815,23.43,22.919,23.027,22.888,20.936
1944,22.445,23.499,25.176,26.961,27.537,24.768,23.142,23.751,24.032,23.922,22.954,21.675
1945,22.092,24.358,26.48,27.16,27.22,24.743,23.435,23.428,23.552,23.909,22.311,21.368
1946,21.355,23.508,26.49,27.365,26.614,24.174,23.216,23.176,23.832,24.371,22.931,21.992
1947,22.636,23.412,26.303,26.839,27.552,24.937,23.224,23.783,23.389,23.207,22.288,21.749
1948,22.79,24.271,26.114,27.623,26.834,24.836,23.427,23.327,23.451,24.089,23.789,20.806
1949,21.835,23.361,26.421,27.515,26.497,24.364,23.361,23.527,23.231,24.031,22.007,21.131
1950,22.045,23.718,25.987,27.838,27.259,24.402,23.002,23.63,23.178,23.188,22.145,21.339
1951,22.288,23.863,26.335,27.357,26.985,23.935,23.316,23.7,24.778,24.433,23.834,21.115
1952,22.623,24.531,26.184,28.316,27.525,24.79,23.984,23.481,23.932,23.59,21.62,22.156
1953,22.299,23.979,27.592,27.092,28.088,25.552,23.307,23.3,23.689,24.089,22.309,21.161
1954,22.408,24.598,26.161,28.17,27.225,24.768,22.815,23.118,23.041,23.207,21.808,21.942
1955,22.403,24.743,26.335,27.457,25.98,24.11,23.324,22.485,24.31,23.978,21.807,20.732
1956,21.889,23.463,26.924,28.436,25.919,23.71,22.223,22.848,23.195,23.244,22.789,21.229
1957,22.227,24.106,25.421,27.638,27.329,24.705,23.462,23.056,23.932,24.616,23.201,22.589
1958,22.552,24.502,26.622,28.151,27.125,25.917,23.319,23.646,23.433,23.889,23.589,21.93
1959,22.989,24.967,26.794,28.105,27.78,24.456,22.753,23.384,24.032,24.143,23.201,22.318
1960,23.02,24.301,26.621,28.025,26.899,24.788,23.857,24.219,23.8,24.021,22.778,22.055
1961,22.688,24.478,27.724,28.574,26.371,24.168,22.669,23.338,23.573,23.777,22.753,22.088
1962,21.839,24.342,26.368,27.25,26.645,25.317,23.567,23.338,23.789,24.048,22.607,21.648
1963,21.88,23.446,26.436,27.068,27.159,24.374,24.002,23.257,24.155,23.889,23.346,22.375
1964,22.433,24.698,27.082,28.723,27.765,25.055,23.933,22.948,23.178,24.121,22.109,21.186
1965,21.927,23.785,26.291,27.291,27.308,24.81,23.233,23.649,24.32,25.345,23.989,22.71
1966,23.242,25.244,27.315,28.505,26.952,25.335,23.996,24.438,24.124,23.99,23.245,21.962
1967,22.301,23.933,26.011,28.305,27.859,25.383,22.973,23.018,23.578,23.379,22.953,22.856
1968,22.246,24.744,26.27,27.651,27.807,25.156,23.415,23.737,24.192,23.708,23.121,22.365
1969,22.389,25.188,27.774,28.787,27.69,25.437,23.468,23.929,23.49,24.048,23.615,22.047
1970,22.948,24.548,26.969,28.605,27.079,24.375,23.638,23.124,23.732,23.889,22.692,20.849
1971,21.911,24.504,25.917,27.79,26.201,23.575,23.469,23.435,24.109,23.001,22.551,21.263
1972,21.539,24.077,26.231,27.801,26.419,25.738,23.996,24.373,24.462,24.534,23.67,22.722
1973,23.114,24.977,27.022,29.092,28.043,24.469,24.07,23.166,24.169,23.933,22.389,21.357
1974,22.209,24.044,26.743,28.405,27.044,24.168,23.282,23.481,23.731,23.361,23.14,21.119
1975,21.7,24.749,26.937,28.858,26.926,24.791,23.238,23.064,23.578,23.445,21.792,20.949
1976,20.978,23.502,27.009,27.199,26.935,25.241,23.755,24.098,24.081,25.142,24.27,23.41
1977,22.644,25.099,27.27,27.803,26.646,24.862,23.251,23.68,23.886,23.968,24.157,21.57
1978,22.944,24.297,26.78,27.935,26.66,23.638,22.941,23.098,23.751,24.02,23.832,21.933
1979,23.154,24.469,26.55,28.083,27.217,25.324,23.639,22.903,23.899,24.46,23.463,22.916
1980,22.583,25.181,27.137,27.858,28.056,24.223,23.105,23.247,24.225,24.748,23.135,22.617
1981,22.863,24.383,26.612,28.001,27.296,24.489,23.743,22.861,23.916,24.033,23.058,21.653
1982,22.252,25.28,27.582,28.259,27.542,25.006,24.016,23.805,24.153,25.311,23.533,22.322
1983,22.619,25.365,27.719,28.98,28.079,25.725,24.519,23.76,23.844,23.967,22.676,22.384
1984,23.339,24.321,26.244,27.605,28.223,24.425,23.216,23.505,24.287,23.982,23.09,23.115
1985,23.637,25.173,27.478,28.382,27.589,23.937,23.54,23.571,24.804,23.89,23.303,23.484
1986,22.107,24.316,27.438,29.296,27.937,24.838,24.131,23.427,24.726,25.083,23.827,23.248
1987,22.795,23.956,26.376,28.71,27.744,25.184,24.695,24.185,25.357,24.453,23.645,22.231
1988,22.512,25.549,27.648,27.975,27.684,25.522,23.82,23.765,23.964,24.525,23.31,21.845
1989,22.401,24.492,25.991,28.284,27.526,24.558,23.473,23.239,24.032,24.779,23.714,22.531
1990,22.891,24.64,26.773,28.569,26.475,24.301,23.393,23.15,24.563,24.347,23.22,22.456
1991,23.607,25.241,27.81,27.927,27.87,24.84,23.094,23.022,24.813,24.215,22.857,21.752
1992,22.011,24.56,27.419,28.609,27.168,25.173,24.126,23.367,24.562,24.376,23.621,21.304
1993,22.825,23.805,26.512,28.618,28.021,25.471,23.786,23.671,23.866,24.303,23.525,21.603
1994,22.82,24.476,27.407,27.706,27.764,24.66,23.185,23.7,24.481,23.92,22.468,21.405
1995,22.261,25.073,27.203,28.669,26.693,26.119,23.917,24.335,24.475,24.478,24.553,22.847
1996,23.789,24.955,27.753,28.11,28.301,25.314,24.027,23.415,24.061,23.585,23.658,21.742
1997,22.463,24.282,26.95,27.048,27.79,26.11,24.17,23.792,24.832,24.988,24.586,23.39
1998,23.667,25.267,27.916,29.285,28.281,26.29,24.151,24.238,24.369,24.344,23.783,22.089
1999,22.417,25.126,27.647,28.321,26.451,24.417,23.716,23.838,24.562,24.531,23.542,22.034
2000,23.444,24.693,26.703,28.477,26.944,24.336,23.426,23.576,24.68,24.426,23.811,21.884
2001,23.342,25.951,27.043,28.417,27.724,25.032,24.07,23.538,24.886,24.089,24.125,22.322
2002,23.103,24.926,27.863,28.841,27.781,25.202,24.282,23.857,25.104,24.988,23.796,22.83
